iter	RMSE
0	0.3947656208
1	0.3881234048
2	0.3827071169
3	0.375793377
4	0.3687844613
5	0.3621609499
6	0.35557478
7	0.3506816759
8	0.3446743859
9	0.3391875085
10	0.335002825
11	0.3291288299
12	0.3239513604
13	0.3197032836
14	0.3149285597
15	0.3098361184
16	0.3048873855
17	0.3007856719
18	0.2964797175
19	0.292554356
20	0.2887219028
21	0.2845359837
22	0.2814169429
23	0.2773428673
24	0.2735959559
25	0.2704141353
26	0.2670002218
27	0.2631202704
28	0.2598818416
29	0.2564364127
30	0.2530039886
31	0.2492775983
32	0.2458708784
33	0.2421506026
34	0.2385816655
35	0.2356315996
36	0.2323612592
37	0.2299956616
38	0.2275641109
39	0.2239749633
40	0.2210572304
41	0.2185062124
42	0.2155633366
43	0.2132240695
44	0.2106871509
45	0.2080361027
46	0.2052881267
47	0.2032874321
48	0.2013203665
49	0.1991064498
50	0.1970820635
51	0.1948739755
52	0.1926805305
53	0.1907313812
54	0.1885060652
55	0.1867924068
56	0.1841289227
57	0.1820715416
58	0.1799458737
59	0.1784423499
60	0.1768757902
61	0.1751528554
62	0.1735656571
63	0.1719212107
64	0.1703197596
65	0.1690521339
66	0.1673010319
67	0.1655947733
68	0.16413029
69	0.1627228741
70	0.1611969225
71	0.160090761
72	0.1586807708
73	0.1575014235
74	0.1562346417
75	0.1547473859
76	0.1536188219
77	0.1536157071
78	0.1520442379
79	0.1507526358
80	0.1495043494
81	0.1477318267
82	0.1462885584
83	0.1450551922
84	0.1435023769
85	0.1421303399
86	0.1412934688
87	0.1401150825
88	0.1391103348
89	0.1378563064
90	0.1370794464
91	0.1361320017
92	0.1353633759
93	0.1348458567
94	0.1335479548
95	0.1324212611
96	0.1314154514
97	0.1305497942
98	0.1294271788
99	0.1285780178
100	0.1276694643
101	0.1266589051
102	0.1257646731
103	0.1249855905
104	0.1242729962
105	0.1232239552
106	0.1224807591
107	0.1221909851
108	0.1213210493
109	0.1211004278
110	0.1203654135
111	0.1197135514
112	0.1191371931
113	0.1184053618
114	0.1175869122
115	0.1174811758
116	0.1168723533
117	0.1161154096
118	0.1154369657
119	0.1150300082
120	0.1144258662
121	0.1136379299
122	0.1130910067
123	0.1125264207
124	0.1119683774
125	0.1114700586
126	0.1110103734
127	0.1108110776
128	0.1100581599
129	0.1094870846
130	0.1093437168
131	0.1089058775
132	0.1083534711
133	0.1078226977
134	0.1073216868
135	0.1069403373
136	0.1063990797
137	0.1058850682
138	0.1053533767
139	0.1050895432
140	0.1045042808
141	0.1039823617
142	0.1034081515
143	0.1029397553
144	0.1022466052
145	0.1017037903
146	0.1013767497
147	0.1010239245
148	0.1007843624
149	0.100514235
150	0.1003482701
151	0.1000592027
152	0.09933217076
153	0.09885269294
154	0.09866475889
155	0.09844423291
156	0.09789260157
157	0.0975689622
158	0.09735992354
159	0.09680578656
160	0.09646010354
161	0.09607106539
162	0.09548140413
163	0.09527660293
164	0.09484707294
165	0.09440992937
166	0.09406292172
167	0.09362009568
168	0.09328340558
169	0.09304794099
170	0.09256955737
171	0.09211901552
172	0.09181565199
173	0.091699124
174	0.09125754246
175	0.09069119746
176	0.09021558506
177	0.08964129012
178	0.0893053322
179	0.08880550036
180	0.08858475473
181	0.08800024123
182	0.08774678066
183	0.08739143058
184	0.08690247099
185	0.08665738878
186	0.08631621804
187	0.08613300052
188	0.08606734427
189	0.08576736767
190	0.0853156053
191	0.08474401432
192	0.08450639917
193	0.08434121926
194	0.08394161545
195	0.08350743503
196	0.08330892609
197	0.08313795077
198	0.0826111584
199	0.08248689687
200	0.08235342216
201	0.08203914777
202	0.08194493652
203	0.08175249131
204	0.08126916972
205	0.08099145615
206	0.08080501879
207	0.08077560467
208	0.08063783171
209	0.08033387594
210	0.0802420011
211	0.07988577489
212	0.07940660726
213	0.07916020643
214	0.07892388668
215	0.07873368654
216	0.07844124992
217	0.07829837418
218	0.07823435481
219	0.077917484
220	0.07765686635
221	0.07759812711
222	0.07719486191
223	0.07704616229
224	0.07695306403
225	0.07661480434
226	0.07628285211
227	0.0762257028
228	0.07599180202
229	0.07564795508
230	0.07557700185
231	0.07537678097
232	0.07525321517
233	0.07518520778
234	0.07507509481
235	0.07482971697
236	0.07453910864
237	0.07432561059
238	0.07402323018
239	0.07381372985
240	0.07363265122
241	0.07344952989
242	0.07319931685
243	0.07294532782
244	0.07276347709
245	0.07259492829
246	0.07247942814
247	0.07223999406
248	0.07188641912
249	0.07167730221
250	0.07141969354
251	0.07138623058
252	0.07118502458
253	0.07084948475
254	0.0707542635
255	0.07049992379
256	0.07041187634
257	0.07029582419
258	0.07020995365
259	0.06999763449
260	0.06989076229
261	0.06983843024
262	0.06975734118
263	0.06958554171
264	0.06955555188
265	0.06945318673
266	0.06923683494
267	0.06907475065
268	0.06889414063
269	0.0687985574
270	0.06872313317
271	0.06846663562
272	0.06808606168
273	0.06777806837
274	0.06760445662
275	0.0675316832
276	0.06744348375
277	0.06732559757
278	0.06713267143
279	0.06692001539
280	0.06678474462
281	0.06672888381
282	0.06652513492
283	0.06622073041
284	0.06600827067
285	0.06600827016
286	0.06580240962
287	0.06564895154
288	0.0653944272
289	0.06537852423
290	0.0651659669
291	0.06509074713
292	0.06505124426
293	0.06480045373
294	0.06477270535
295	0.06462049205
296	0.06435678471
297	0.06424968366
298	0.06385995764
299	0.06384516523
300	0.06372940017
301	0.06352225699
302	0.06349402323
303	0.06332242799
304	0.06318497714
305	0.06274966581
306	0.06269363814
307	0.0626212848
308	0.06255455161
309	0.0625409216
310	0.06245476734
311	0.06229913909
312	0.06226651745
313	0.06211666109
314	0.06203699884
315	0.06197560808
316	0.06196101688
317	0.0618828546
318	0.06179455867
319	0.06175014054
320	0.06166593844
321	0.06145844719
322	0.06141160692
323	0.06138290545
324	0.06125261704
325	0.06118750065
326	0.06115665893
327	0.06103547791
328	0.06092860677
329	0.06089330233
330	0.06088956493
331	0.06081965503
332	0.06077439716
333	0.06072952758
334	0.06067597328
335	0.06036967544
336	0.06026282612
337	0.06016681975
338	0.06002826223
339	0.05999808016
340	0.05989332142
341	0.0598046088
342	0.05978221902
343	0.05967046775
344	0.05960282993
345	0.05944953443
346	0.05936542175
347	0.05929767706
348	0.05919715938
349	0.05900971893
350	0.05880467247
351	0.05856435682
352	0.05838494943
353	0.05826269274
354	0.05822220699
355	0.05819328204
356	0.05807702551
357	0.05804320773
358	0.05765783584
359	0.05763396267
360	0.05758331409
361	0.05755689483
362	0.05735580114
363	0.05730870073
364	0.05728345185
365	0.05726380031
366	0.05723926791
367	0.05707974093
368	0.05695943707
369	0.05694149352
370	0.05692232595
371	0.05685795816
372	0.05684418118
373	0.0567526826
374	0.0565818594
375	0.05657327853
376	0.05640455438
377	0.05634781489
378	0.05632502726
379	0.05626038471
380	0.05621921018
381	0.05617656099
382	0.05608025014
383	0.05605690479
384	0.05604389206
385	0.05598105598
386	0.05585282625
387	0.05582027954
388	0.05580514018
389	0.05562095034
390	0.05560848885
391	0.0555354335
392	0.05544378457
393	0.05538981636
394	0.05505724992
395	0.05497685874
396	0.05494492934
397	0.05486825147
398	0.05482821089
399	0.0548072621
400	0.05479627513
401	0.05470448143
